Time, brightness, Heat
0,8,579
1,7,83
3,7,0
4,8,0
6,8,0
7,8,0
8,7,0
12,7,233
22,8,0
30,8,595
40,9,0
49,8,579
60,8,0
68,7,274
78,8,221
89,8,0
97,8,589
107,9,0
116,8,520
129,9,210
140,8,0
149,9,572
160,9,0
169,9,0
179,9,414
191,8,0
200,10,552
212,9,406
224,8,0
233,9,552
244,9,186
257,9,0
266,9,579
277,9,0
286,9,0
295,9,382
307,9,0
316,10,573
329,10,375
342,10,0
352,9,27
362,9,368
373,10,0
385,8,369
396,10,358
408,9,0
417,9,374
429,10,346
441,10,0
452,9,68
462,10,340
475,10,0
485,10,84
496,10,592
508,10,0
520,9,0
529,10,325
541,10,0
551,10,112
564,10,582
576,10,0
587,10,0
598,10,589
610,10,0
620,10,0
630,10,587
643,11,0
654,10,0
664,10,589
676,9,0
686,10,0
696,10,567
708,10,0
719,10,0
730,10,546
742,10,0
752,10,0
762,10,539
775,10,0
786,10,0
796,10,522
808,9,0
818,9,222
829,11,509
841,10,0
852,10,0
863,10,485
875,10,0
885,10,0
896,10,469
908,10,0
919,10,0
929,10,449
942,10,0
952,10,0
962,11,440
974,10,0
986,10,0
996,11,434
1008,11,0
1019,10,0
1031,11,591
1044,10,198
1058,9,0
1069,10,0
1080,10,586
1093,11,0
1104,10,0
1117,10,553
1130,10,591
1143,10,0
1155,10,0
1166,10,565
1179,10,583
1193,10,0
1205,11,0
1216,11,570
1229,11,579
1243,10,0
1255,10,0
1266,11,575
1280,11,593
1293,11,0
1304,10,0
1316,10,578
1330,11,598
1343,10,0
1354,11,0
1366,11,575
1379,10,593
1393,11,0
1404,11,0
1416,11,584
1429,11,600
1442,11,0
1455,10,0
1466,11,580
1479,11,594
1492,11,0
1504,10,0
1516,11,582
1529,11,599
1543,10,0
1554,10,0
1565,10,586
1579,11,565
1593,11,0
1604,11,0
1615,12,573
1629,11,545
1642,11,0
1654,11,0
1666,11,584
1679,11,518
1692,11,0
1703,11,0
1716,10,584
1729,11,507
1742,11,0
1754,11,0
1765,11,582
1778,12,474
1793,11,0
1804,11,0
1815,11,582
1828,13,442
1842,11,0
1854,11,0
1865,11,583
1879,11,432
1892,11,0
1903,11,0
1915,11,586
1929,11,416
1942,10,0
1953,11,0
1965,10,584
1978,11,403
1992,11,0
2003,11,0
2015,11,584
2028,11,395
2041,11,0
2054,11,0
2065,11,584
2078,11,380
2092,11,0
2103,11,0
2115,11,589
2128,11,372
2142,11,0
2153,11,0
2164,11,586
2178,11,353
2192,11,0
2203,11,0
2214,11,589
2228,11,340
2241,11,0
2253,11,0
2265,10,579
2278,11,327
2291,11,0
2302,11,0
2315,12,585
2328,11,321
2341,11,0
2353,11,0
2364,11,585
2377,11,310
2392,11,0
2403,11,0
2414,11,593
2427,11,298
2441,11,0
2453,11,0
2464,11,586
2478,11,286
2491,11,0
2502,11,0
2514,11,587
2528,12,278
2541,11,0
2552,11,0
2564,10,592
2577,11,257
2591,11,0
2603,11,0
2614,11,591
2627,11,250
2640,11,0
2653,11,0
2664,11,584
2677,11,239
2691,11,0
2702,11,0
2714,11,588
2727,11,230
2741,11,0
2752,12,0
2763,12,588
2777,11,212
2791,12,0
2802,11,0
2813,11,584
2827,12,198
2840,12,0
2852,11,0
2864,11,590
2877,11,192
2890,11,0
2902,11,0
2914,11,586
2927,11,185
2940,11,0
2952,11,0
2963,12,589
2976,11,170
2991,10,0
3002,11,0
3013,12,581
3026,11,160
3040,11,0
3052,10,0
3063,11,587
3077,11,149
3090,10,0
3101,11,0
3113,11,595
3127,11,140
3140,10,0
3151,11,0
3163,11,593
3176,11,127
3190,12,0
3202,11,0
3213,11,588
3226,11,112
3239,11,0
3252,11,0
3263,12,590
3276,11,98
3289,11,0
3300,11,147
3314,10,584
3328,12,293
3341,11,0
3352,11,0
3363,11,581
3377,11,289
3391,11,0
3402,11,0
3414,11,590
3427,12,273
3440,11,0
3452,11,0
3464,11,591
3477,11,261
3490,11,0
3502,11,0
3514,12,592
3527,11,248
3540,11,0
3552,11,0
3563,11,585
3576,12,235
3591,11,0
3602,11,0
3613,12,585
3627,11,221
3640,11,0
3652,11,0
3663,11,592
3677,11,213
3690,11,0
3701,11,0
3714,12,587
3727,11,201
3740,10,0
3751,11,0
3763,13,591
3776,11,188
3790,11,0
