Time, Brightness, Heat
0,832,459
2,832,388
3,832,419
5,832,607
6,832,703
15,832,902
27,832,719
39,832,397
53,832,380
65,833,907
77,832,699
90,832,390
102,832,380
115,833,758
130,833,962
143,832,541
156,832,401
169,832,389
183,832,583
197,832,961
210,832,666
224,832,396
237,832,390
251,832,461
265,832,933
278,832,871
291,832,396
305,832,396
319,832,380
332,832,805
346,832,965
359,832,511
372,832,396
387,832,393
400,832,611
413,832,964
427,832,631
440,832,397
454,832,394
467,832,489
481,832,951
494,832,817
507,832,392
522,832,392
535,832,380
548,832,844
562,832,966
575,832,480
589,832,396
603,832,390
616,832,664
629,832,964
643,832,597
657,831,398
670,832,393
684,832,522
697,832,957
710,832,774
724,832,395
738,832,391
751,832,396
764,832,881
778,832,953
792,832,446
805,832,395
819,832,382
832,832,717
845,832,966
860,832,569
873,832,400
886,832,392
900,832,553
913,832,956
927,831,715
941,831,399
954,831,385
967,831,432
980,832,903
995,832,915
1008,832,410
1022,832,399
1037,832,390
1052,832,379
1067,832,579
1081,832,916
1095,832,965
1110,832,665
1125,832,399
1139,832,401
1154,832,391
1168,832,380
1183,832,598
1198,832,937
1212,832,971
1226,832,645
1241,832,395
1256,832,398
1270,832,391
1285,832,380
1299,832,612
1313,832,952
1329,832,968
1343,832,626
1357,832,394
1372,832,395
1387,832,391
1401,832,381
1416,832,637
1430,832,956
1444,832,970
1460,832,607
1474,832,395
1488,832,398
1503,832,394
1518,832,382
1532,833,666
1547,833,958
1561,833,964
1575,833,593
1591,833,396
1605,833,394
1619,833,394
1634,833,395
1649,833,696
1664,833,959
1678,834,955
1692,834,577
1707,833,400
1722,834,396
1736,834,396
1751,834,416
1765,834,727
1779,834,960
1795,834,937
1809,834,559
1823,835,398
1838,835,394
1853,834,395
1867,835,437
1882,835,762
1896,835,961
1910,835,912
1926,835,541
1940,835,398
1954,835,395
1969,835,389
1984,835,454
1998,835,783
2013,835,961
2027,835,880
2041,835,528
2057,835,396
2071,835,395
2085,835,394
2100,835,470
2115,835,803
2129,835,963
2144,835,848
2158,835,513
2172,835,399
2188,835,400
2202,836,395
2216,835,482
2231,836,821
2245,835,964
2260,835,829
2275,835,500
2289,835,397
2304,835,394
2319,835,393
2333,835,497
2348,835,837
2362,835,966
2376,835,810
2392,835,482
2406,835,397
2420,835,396
2435,835,393
2450,835,515
2464,835,864
2479,835,964
2493,835,781
2507,835,462
2523,835,393
2537,835,394
2551,835,390
2566,835,535
2581,835,884
2595,835,964
2610,835,753
2624,835,444
2638,835,396
2654,835,394
2668,835,382
2682,835,551
2697,835,897
2711,835,962
2726,835,721
2741,835,425
2755,835,400
2769,835,392
2785,835,382
2799,835,568
2813,835,915
2828,835,963
2842,835,680
2857,835,411
2872,835,405
2886,835,387
2900,835,382
2916,835,585
2930,835,927
2945,835,967
2959,835,661
2973,835,399
2989,835,398
3003,834,400
3017,834,381
3032,835,600
3047,835,943
3061,835,968
3076,835,642
3090,835,396
3104,834,400
3120,834,397
3134,834,381
3148,835,616
3163,835,952
3177,835,968
3192,834,624
3207,834,395
3221,834,401
3235,834,398
3251,834,382
3265,834,640
3279,835,956
3294,835,966
3308,834,609
3323,834,395
3338,834,400
3352,834,395
3366,834,385
3382,834,671
3396,834,958
3410,834,959
3425,834,595
3439,834,396
3454,834,397
3469,834,396
3483,834,399
3497,834,696
3513,834,960
3527,834,954
3542,834,577
3556,834,396
3570,834,390
3586,834,393
3600,834,416
3614,834,726
3629,834,955
3643,834,934
3658,834,559
3673,834,399
3687,833,393
3701,833,393
3717,833,434
3731,834,757
3745,834,960
3760,834,920
3774,833,543
3789,833,397
3804,833,392
3818,833,389
3832,833,452
3848,833,783
3862,834,957
3876,833,886
3891,833,527
3905,833,395
3920,833,395
3935,833,394
3949,833,469
3963,834,806
3979,834,964
3993,834,854
4007,833,513
4022,833,398
4036,833,394
4051,833,392
4066,833,482
4080,834,823
4094,834,964
4109,833,832
4124,833,499
4139,833,398
4153,833,391
4167,833,392
4183,833,496
4197,833,842
4211,834,960
4226,834,812
4240,833,482
4255,833,396
4270,833,394
4284,833,391
4298,833,513
4314,834,861
4328,834,966
4342,834,785
4357,833,464
4371,833,397
4386,833,395
4401,834,392
4415,834,530
4429,833,874
4445,834,965
4459,834,754
4473,833,447
4488,833,394
4502,833,390
4517,833,382
4532,834,548
4546,833,890
4560,834,966
4575,834,725
4590,834,431
4604,834,399
4619,833,396
