relative_time,BarometerSensor
0,1022.3358154296875
36,1022.3328247070312
116,1022.3258056640625
197,1022.3228759765625
236,1022.340087890625
318,1022.3421630859375
397,1022.3287963867188
436,1022.3385620117188
518,1022.324951171875
596,1022.3094482421875
636,1022.3181762695312
717,1022.3273315429688
797,1022.3339233398438
836,1022.3347778320312
916,1022.3402709960938
997,1022.3368530273438
1037,1022.361328125
1116,1022.3253784179688
1197,1022.3526000976562
1237,1022.33349609375
1317,1022.3296508789062
1397,1022.3073120117188
1437,1022.3031005859375
1517,1022.3396606445312
1596,1022.33349609375
1637,1022.3279418945312
1716,1022.338134765625
1796,1022.3343505859375
1837,1022.3294677734375
1917,1022.3468627929688
1996,1022.3555908203125
2036,1022.3643188476562
2116,1022.3339233398438
2196,1022.359375
2236,1022.3277587890625
2316,1022.3273315429688
2397,1022.3532104492188
2436,1022.3761596679688
2516,1022.3526000976562
2597,1022.3583374023438
2636,1022.3653564453125
2717,1022.3515625
2797,1022.2994995117188
2836,1022.3504638671875
2917,1022.3477172851562
2997,1022.336669921875
3036,1022.3290405273438
3117,1022.3587646484375
3197,1022.3570556640625
3236,1022.3458251953125
3317,1022.3253784179688
3397,1022.3158569335938
3436,1022.3167114257812
3518,1022.3245239257812
3597,1022.3290405273438
3636,1022.3245239257812
3716,1022.3441162109375
3798,1022.3347778320312
3836,1022.3096923828125
3917,1022.343017578125
4001,1022.352783203125
4036,1022.3273315429688
4122,1022.3306884765625
4197,1022.3150024414062
4236,1022.2811889648438
4316,1022.3003540039062
4398,1022.2867431640625
4436,1022.2880249023438
4516,1022.28759765625
4597,1022.28076171875
4637,1022.3024291992188
4718,1022.2633666992188
4798,1022.300537109375
4836,1022.2918090820312
4918,1022.2935180664062
4997,1022.277587890625
5037,1022.297119140625
5121,1022.2943725585938
5197,1022.2982177734375
5236,1022.2714233398438
5316,1022.2920532226562
5396,1022.2682495117188
5436,1022.2860717773438
5517,1022.3341064453125
5597,1022.3024291992188
5636,1022.2918090820312
5717,1022.2952270507812
5797,1022.2977905273438
5837,1022.29248046875
5917,1022.3405151367188
5997,1022.3194580078125
6037,1022.3167114257812
6117,1022.3114013671875
6197,1022.3052368164062
6237,1022.2777709960938
6317,1022.2901000976562
6397,1022.2996826171875
6437,1022.3209228515625
6517,1022.3126220703125
6597,1022.3405151367188
6640,1022.3290405273438
6717,1022.308837890625
6797,1022.2828979492188
6837,1022.3377075195312
6917,1022.3049926757812
6996,1022.32666015625
7037,1022.310302734375
7117,1022.3319702148438
7198,1022.318603515625
7236,1022.2911987304688
7317,1022.3162841796875
7400,1022.33837890625
7437,1022.3147583007812
7518,1022.3175659179688
7597,1022.3056640625
7636,1022.31689453125
7717,1022.3204956054688
7797,1022.3160400390625
7836,1022.3139038085938
7917,1022.3328247070312
7997,1022.318359375
8036,1022.3306884765625
8117,1022.3101196289062
8198,1022.3224487304688
8236,1022.3101196289062
8317,1022.313720703125
8396,1022.317138671875
8437,1022.3341064453125
8516,1022.3115844726562
8599,1022.326904296875
