time, brightness
12,395
15,444
23,460
31,470
39,477
49,484
57,492
65,496
73,499
81,504
90,510
98,513
106,514
116,513
125,516
135,516
144,517
153,519
162,518
172,520
182,518
191,517
200,515
209,515
219,514
228,512
237,512
247,511
257,510
266,509
275,508
284,509
293,507
303,508
313,507
322,507
331,508
340,507
350,508
359,508
368,509
378,509
388,509
397,511
406,511
415,513
424,513
434,514
443,517
453,517
462,520
472,521
481,523
490,525
499,526
508,528
519,529
528,532
537,533
546,534
556,537
565,538
574,540
584,542
593,543
603,545
612,546
621,549
630,550
640,550
650,551
659,552
668,555
677,556
687,558
696,559
705,560
715,562
724,563
734,565
743,566
752,567
761,567
771,567
781,569
790,569
799,569
808,569
818,569
827,571
836,571
846,571
856,571
865,570
874,570
883,570
892,570
902,570
912,569
921,568
930,567
940,567
949,566
958,564
967,563
977,562
987,562
996,561
1005,560
1015,556
1026,555
1036,553
1047,551
1057,552
1068,551
1078,551
1088,549
1098,547
1108,546
1120,545
1130,542
1140,540
1150,538
1161,536
1171,535
1182,534
1192,532
1203,531
1213,529
1223,528
1233,526
1245,524
1255,522
1265,521
1275,520
1286,518
1296,517
1306,516
1317,515
1328,514
1338,514
1348,513
1358,512
1369,512
1380,511
1390,512
1400,512
1411,512
1421,513
1431,513
1441,514
1453,515
1463,515
1473,516
1483,517
1494,517
1504,519
1515,521
1525,522
1536,524
1546,526
1556,528
1566,529
1577,531
1588,532
1598,533
1608,535
1618,537
1629,539
1639,541
1650,542
1660,544
1671,546
1681,547
1691,548
1701,550
1713,551
1723,552
1733,553
1743,555
1754,557
1764,558
1774,560
1785,561
1796,562
1806,562
1816,563
1826,563
1837,564
1848,565
1858,566
1868,566
1879,566
1889,566
1899,566
1910,566
1921,567
1931,566
1941,566
1951,566
1961,566
1972,566
1983,565
1993,564
2003,563
2014,563
2024,562
2034,561
2045,560
2056,559
2066,558
2076,555
2086,554
2097,552
2107,551
2118,549
2128,548
2139,547
2149,545
2159,543
2169,542
2181,541
2191,538
2201,536
2211,534
2222,532
2232,531
2243,530
2253,528
2264,526
2274,524
2284,522
2294,521
2305,519
2316,517
2326,516
2336,515
2347,513
2357,512
2367,512
2378,511
2388,510
2399,510
2409,509
2419,509
2429,508
2440,508
2451,508
2461,508
2471,509
2482,509
2492,510
2502,511
2513,512
2524,513
2534,514
2544,515
2554,516
2565,519
2576,521
2586,522
2596,524
2607,526
2617,528
2627,530
2637,531
2649,533
2659,534
2669,535
2679,538
2690,540
2700,542
2711,543
2721,545
2732,547
2742,548
2752,549
2762,551
2772,552
2784,552
2794,554
2804,555
2814,557
2825,558
2835,559
2846,560
2856,561
2867,561
2877,562
2887,562
2897,563
2909,564
2919,564
2929,564
2939,564
2950,565
2960,564
2970,564
2981,564
2992,564
3002,564
3012,563
3022,563
3033,562
3044,561
3054,560
3064,560
3075,559
3085,558
3095,557
3105,556
3117,555
3127,553
3137,552
3147,550
3158,548
3168,547
3179,545
3189,544
3200,542
3210,540
3220,539
3230,537
3241,535
3252,533
3262,530
3272,528
3282,526
3293,525
3303,524
3314,522
3324,520
3335,518
3345,517
3355,516
3365,514
3377,512
3387,511
3397,510
3407,509
3418,508
3428,507
3438,507
3449,506
3460,506
3470,505
3480,505
3490,505
3501,505
3512,505
3522,506
3532,507
3543,508
3553,509
3563,510
3574,511
3585,512
3595,513
3605,514
3615,516
3625,518
3636,520
3647,522
3657,524
3667,526
3678,528
3688,530
3698,531
3709,533
3720,534
3730,535
3740,538
3750,540
3761,542
3771,543
3782,545
3792,547
3803,548
3813,550
3823,551
3833,552
3845,552
3855,554
3865,555
3875,557
3886,558
3896,559
3907,559
3917,560
3928,560
3938,561
3948,561
3958,562
3969,562
3980,562
3990,563
4000,563
4011,563
4021,562
4031,562
4042,562
4052,562
4063,561
4073,561
4083,561
4093,560
4104,559
4115,558
4125,557
4135,556
4146,555
4156,554
4166,553
4177,551
4188,550
4198,548
4208,546
4218,544
4229,543
4240,541
4250,540
4260,538
4271,537
4281,535
4291,533
4301,531
4313,528
4323,526
4333,524
4343,522
4354,521
4364,520
4375,518
4385,516
4396,514
4406,513
4416,512
4426,510
4436,509
4448,508
4458,507
4468,506
4478,506
4489,505
4499,505
4510,505
4520,505
4531,504
4541,504
4551,505
4561,505
4573,505
4583,506
4593,507
4603,508
4614,509
4624,510
4634,511
4645,513
4656,514
4666,515
4676,516
4686,519
4697,521
4708,523
4718,525
4728,527
4739,529
4749,531
4759,533
4769,534
4781,536
4791,536
4801,539
4811,541
4822,543
4832,544
4843,546
4853,548
4864,549
4874,550
4884,551
4894,552
4905,553
4916,554
4926,556
4936,557
4946,558
4957,559
4967,559
4978,560
4988,560
4999,561
5009,561
5019,562
5029,562
5041,562
5051,562
5061,562
5071,562
5082,562
5092,562
5102,561
5113,561
5124,560
5134,560
5144,559
5154,558
