Time, brightness
103,372
113,379
122,381
132,385
141,386
150,387
159,388
168,387
178,389
188,390
197,392
206,392
216,393
225,395
234,393
243,394
253,394
263,395
272,395
281,394
290,396
300,395
309,396
319,396
328,397
337,399
347,399
356,401
365,401
374,403
385,406
394,406
403,408
412,409
421,412
431,414
440,414
450,417
459,418
468,421
478,422
487,424
496,428
505,430
516,433
525,435
534,438
543,441
552,443
562,446
571,448
581,452
590,453
600,454
609,458
618,460
627,463
636,465
647,466
656,469
665,470
674,473
684,475
693,476
702,478
712,479
721,482
731,483
740,485
749,486
758,487
768,488
778,489
787,491
796,492
805,492
815,493
824,493
833,495
842,495
852,495
862,495
871,495
880,496
889,496
899,496
908,496
918,495
927,495
936,494
946,495
955,494
964,493
973,491
984,490
993,490
1002,489
1012,489
1022,488
1033,488
1044,487
1054,484
1064,482
1075,478
1085,476
1095,475
1105,473
1117,471
1127,469
1137,467
1147,465
1158,463
1168,461
1179,459
1189,456
1200,453
1210,451
1220,449
1230,448
1241,446
1252,444
1262,442
1272,440
1283,439
1293,436
1303,434
1314,433
1325,432
1335,431
1345,430
1355,429
1366,429
1377,428
1387,428
1397,428
1408,428
1418,428
1428,429
1438,429
1449,431
1460,432
1470,433
1480,435
1490,436
1501,439
1512,440
1522,442
1532,444
1543,445
1553,447
1563,450
1573,452
1585,454
1595,457
1605,460
1615,462
1626,464
1636,466
1647,468
1657,470
1668,472
1678,475
1688,477
1698,480
1710,482
1720,484
1730,486
1740,487
1751,489
1761,490
1771,491
1782,493
1793,495
1803,496
1813,497
1823,498
1833,499
1845,500
1855,500
1865,501
1875,502
1886,501
1896,502
1906,503
1917,503
1928,503
1938,503
1948,502
1958,502
1969,502
1980,501
1990,502
2000,501
2011,500
2021,498
2031,497
2042,496
2053,494
2063,493
2073,492
2083,491
2094,489
2104,487
2115,485
2125,484
2136,481
2146,479
2156,477
2166,475
2178,473
2188,471
2198,469
2208,467
2219,465
2229,462
2239,460
2250,457
2260,455
