Time, brightness
256,389
265,390
274,390
283,389
292,391
302,391
312,392
321,392
330,394
339,396
349,396
358,398
367,399
376,401
387,405
396,405
405,408
414,409
423,411
433,412
442,413
452,416
461,418
471,421
480,423
489,423
498,428
507,429
518,433
527,435
536,439
545,440
555,442
564,446
573,448
583,451
592,453
602,455
611,459
620,461
629,464
638,465
649,467
658,467
667,468
676,471
686,473
695,474
704,475
714,476
723,479
733,480
742,480
751,481
760,482
770,482
780,483
789,486
798,487
807,487
817,487
826,488
835,489
845,489
855,489
864,489
873,488
882,489
891,489
901,489
911,489
920,488
929,487
939,486
948,486
957,485
966,483
975,482
986,481
995,480
1004,479
1014,481
1025,480
1035,480
1046,479
1056,475
1067,469
1077,463
1087,458
1097,456
1107,457
1119,459
1129,462
1139,463
1149,460
1160,456
1170,450
1181,442
1191,436
1202,433
1212,434
1222,436
1232,442
1244,444
1254,442
1264,438
1274,432
1285,424
1295,417
1305,415
1316,417
1327,421
1337,428
1347,433
1357,434
1368,431
1379,427
1389,419
1399,414
1410,413
1420,416
1430,421
1440,428
1452,436
1462,439
1472,439
1482,437
1492,433
1503,430
1514,430
1524,433
1534,439
1545,446
1555,453
1565,458
1576,460
1587,459
1597,457
1607,455
1617,455
1628,457
1638,462
1649,468
1659,473
1670,477
1680,480
1690,480
1700,478
1712,477
1722,477
1732,477
1742,480
1753,486
1763,489
1773,492
1784,495
1795,495
1805,493
1815,492
1825,491
1836,490
1847,491
1857,495
1867,497
1878,499
1888,501
1898,501
1909,497
1920,495
1930,493
1940,490
1950,489
1960,493
1971,494
1982,495
1992,497
2002,496
2013,493
2023,488
2033,485
2044,481
2055,479
2065,480
2075,483
2085,484
2096,484
2106,482
2117,478
2127,472
2138,465
2148,460
2158,459
2168,459
2180,461
2190,464
2200,465
2210,462
2221,458
2231,451
2242,443
2252,437
2263,435
2273,435
2283,438
2293,443
2304,445
2315,444
2325,440
2335,434
2345,426
2356,419
2366,418
2377,420
2387,424
2398,431
2408,436
2418,437
2428,435
2439,431
2450,423
2460,418
2470,418
2481,421
2491,427
2501,434
2512,441
2523,445
2533,445
2543,443
2553,439
2564,436
2575,437
2585,440
2595,445
2606,452
2616,459
2626,464
2636,466
2648,465
2658,463
2668,461
2678,461
2689,463
2699,468
2710,473
2720,478
2731,482
2741,485
2751,485
2761,483
2771,482
2783,482
2793,482
2803,485
2813,490
2824,493
2834,496
2845,499
2855,499
2866,497
2876,496
2886,495
2896,493
2908,494
2918,498
2928,500
2938,501
2949,504
2959,503
2969,501
2980,498
2991,496
3001,493
3011,493
3021,495
3032,496
3043,497
3053,498
3063,497
3074,494
3084,488
3094,484
3104,480
3116,479
3126,479
3136,482
3146,484
3156,484
3167,481
3178,477
3188,471
3198,464
3209,459
3219,457
3229,457
3240,459
3251,463
3261,463
3271,461
3281,456
3292,449
3302,441
3313,435
3323,433
3334,434
3344,437
3354,443
3364,445
3376,444
3386,440
3396,434
3406,426
3417,420
3427,419
3437,421
3448,425
3459,433
3469,438
3479,439
3489,437
3500,433
3511,426
3521,422
3531,422
3542,425
3552,430
3562,437
3573,445
3584,448
3594,449
3604,447
3614,444
3624,440
3635,441
3646,444
3656,449
3666,456
3677,463
3687,468
3697,470
3708,469
3719,467
3729,466
3739,465
3749,468
3760,472
3770,478
3781,483
3791,486
3802,489
3812,489
3822,487
3832,486
3844,486
3854,486
3864,488
3874,493
3885,496
3895,498
3906,501
3916,501
3927,499
3937,498
3947,497
3957,495
3968,496
3979,499
3989,501
3999,502
4009,505
4020,504
4030,502
4041,499
4051,497
4062,494
4072,493
4082,495
4092,496
4103,497
4114,498
4124,497
4134,493
4145,487
4155,483
4165,479
4176,477
4187,478
4197,481
4207,483
4217,483
4228,481
4239,476
4249,470
4259,462
4270,457
4280,455
4290,455
4300,457
4312,463
4322,463
4332,461
4342,456
4353,450
4363,440
4374,434
4384,432
4395,433
4405,436
4415,442
4425,444
4435,443
4447,439
4457,434
4467,426
4477,420
4488,419
4498,421
4509,426
4519,433
4530,439
4540,441
4550,439
4560,435
4572,429
4582,424
4592,425
4602,428
4613,433
4623,440
4633,449
4644,452
4655,452
4665,451
4675,448
4685,444
4696,445
4707,448
4717,454
4727,460
4738,467
4748,472
4758,474
4768,473
4780,471
4790,470
4800,469
4810,472
4820,476
4831,481
4842,486
4852,489
4862,491
4873,491
4883,489
4893,489
4904,488
4915,489
4925,491
4935,495
4945,498
4956,500
4966,503
4977,503
4987,501
4998,499
5008,498
5018,496
5028,497
5040,500
5050,502
5060,503
5070,505
5081,504
5091,502
5101,499
5112,497
5123,493
5133,493
5143,494
5153,495
5164,496
5175,497
5185,495
5195,491
5206,485
5216,480
5226,476
5237,475
5248,475
5258,479
5268,480
5278,480
5288,478
5299,473
5310,467
5320,459
5330,454
5341,452
5351,452
5361,455
5372,460
5383,461
5393,458
5403,454
5413,447
5424,438
5434,432
5445,430
5455,431
5466,434
5476,440
5486,443
5496,442
5508,439
5518,433
5528,426
5538,420
5549,419
5559,422
5570,427
5580,435
5591,441
5601,442
5611,441
5621,437
5632,431
5643,427
5653,427
5663,431
5673,436
5684,443
5694,452
5705,455
5715,456
5726,454
5736,451
5746,448
5756,448
5767,452
5778,457
5788,464
5798,470
5809,475
5819,477
5829,477
5840,474
5851,472
5861,472
5871,474
5881,477
5892,484
5903,488
5913,491
5923,494
5934,494
5944,492
5954,491
5964,491
5976,491
5986,493
5996,497
6006,500
6017,502
6027,504
6038,504
6048,502
6059,500
6069,499
6079,497
6089,498
6099,500
6111,502
6121,503
6131,505
6141,504
6152,501
6162,498
6173,496
6183,492
6194,491
6204,493
6214,494
6224,495
6236,496
6246,494
6256,490
6266,483
6277,478
6287,474
6297,473
6308,473
6319,477
6329,479
6339,479
6349,476
6360,472
6371,465
6381,457
6391,451
6402,450
6412,450
6422,453
6432,458
6444,459
6454,456
6464,451
6474,445
6484,436
6495,430
6506,428
6516,430
6526,433
6537,439
6547,442
6557,441
6568,438
6579,433
6589,426
6599,420
6609,420
6620,422
6630,427
6641,434
6651,440
6662,442
6672,440
6682,437
6692,432
6704,429
6714,430
6724,433
6734,439
6745,446
6755,455
6765,458
6776,459
6787,458
6797,455
6807,452
6817,453
6828,456
6839,461
6849,468
6859,474
6870,478
6880,480
6890,480
6901,477
6912,476
6922,475
6932,477
6942,480
6952,487
6963,491
6974,493
6984,496
6994,496
7005,494
7015,493
7025,493
7036,493
7047,495
7057,499
7067,501
7077,503
7088,505
7098,505
7109,502
7119,500
7130,499
7140,497
7150,498
7160,501
7172,502
7182,503
7192,505
7202,503
7213,500
7223,497
7234,494
7244,491
7255,490
7265,491
7275,493
7285,494
7296,494
7307,492
7317,488
7327,482
7337,477
7348,473
7358,472
7369,472
7379,475
7390,477
