Time, brightness

478,450
487,449
496,451
505,451
516,452
525,452
534,452
543,453
552,453
562,455
571,455
581,456
590,457
600,456
609,458
618,458
627,459
636,459
647,459
656,460
665,460
674,461
684,461
693,461
702,461
712,461
721,463
731,463
740,464
749,464
758,463
768,465
778,464
787,465
796,465
805,464
815,465
824,465
833,466
842,466
852,466
862,466
871,465
880,467
889,466
899,467
908,467
918,466
927,467
936,467
946,468
955,468
964,466
973,467
984,466
993,467
1002,467
1012,469
1022,469
1033,469
1044,470
1054,468
1064,469
1075,466
1085,466
1095,466
1105,466
1117,466
1127,466
1137,466
1147,466
1158,466
1168,466
1179,465
1189,465
1200,465
1210,465
1220,465
1230,465
1241,465
1252,465
1262,465
1272,465
1283,465
1293,465
1303,465
1314,465
1325,465
1335,465
1345,464
1355,465
1366,465
1377,465
1387,465
1397,465
1408,465
1418,465
1428,465
1438,465
1449,465
1460,465
1470,465
1480,465
1490,466
1501,466
1512,466
1522,466
1532,466
1543,466
1553,466
1563,467
1573,467
1585,468
1595,468
1605,468
1615,468
1626,468
1636,469
1647,469
1657,469
1668,470
1678,470
1688,471
1698,471
1710,471
1720,471
1730,471
1740,471
1751,471
1761,472
1771,472
1782,472
1793,472
1803,473
1813,473
1823,473
1833,473
1845,473
1855,473
1865,473
1875,473
1886,473
1896,473
1906,473
1917,473
1928,473
1938,473
1948,473
1958,473
1969,473
1980,473
1990,473
2000,473
2011,473
2021,474
2031,473
2042,473
2053,473
2063,473
2073,473
2083,473
2094,473
2104,473
2115,473
2125,473
2136,472
2146,472
2156,471
2166,471
2178,471
2188,471
2198,471
2208,471
2219,471
2229,471
2239,470
2250,470
2260,469
2271,469
2281,469
2291,469
2301,469
2313,469
2323,469
2333,469
2343,469
2354,469
2364,469
2375,469
2385,469
2396,469
2406,468
2416,468
2426,468
2437,469
2448,469
2458,469
2468,469
2479,469
2489,468
2499,469
2510,469
2521,469
2531,469
2541,470
2551,470
2562,470
2572,470
2583,470
2593,470
2604,470
2614,470
2624,471
2634,471
2646,471
2656,472
2666,472
2676,472
2686,472
2697,472
2708,472
2718,472
2728,473
2739,473
2749,473
2759,474
2769,474
2781,474
2791,474
2801,474
2811,474
2822,474
2832,474
2843,475
2853,475
2864,475
2874,475
2884,475
2894,475
2905,475
2916,475
2926,475
2936,475
2947,475
2957,476
2967,476
2978,476
2989,476
2999,476
3009,476
3019,476
