Time, brightness

815,467
824,467
833,468
842,468
852,467
862,468
871,467
880,468
889,468
899,469
908,468
918,468
927,469
936,469
946,470
955,470
964,468
973,470
984,469
993,470
1002,470
1012,472
1022,472
1033,472
1044,473
1054,471
1064,471
1075,469
1085,468
1095,469
1105,469
1117,469
1127,469
1137,469
1147,469
1158,469
1168,469
1179,469
1189,469
1200,469
1210,469
1220,468
1230,468
1241,469
1252,469
1262,469
1272,469
1283,469
1293,468
1303,468
1314,468
1325,468
1335,468
1345,468
1355,469
1366,469
1377,469
1387,469
1397,469
1408,469
1418,469
1428,469
1438,469
1449,469
1460,469
1470,470
1480,470
1490,470
1501,470
1512,470
1522,470
1532,470
1543,470
1553,470
1563,471
1573,471
1585,471
1595,471
1605,471
1615,471
1626,471
1636,471
1647,472
1657,472
1668,472
1678,473
1688,473
1698,473
1710,473
1720,473
1730,474
1740,474
1751,474
1761,474
1771,474
1782,475
1793,475
1803,475
1813,475
1823,475
1833,475
1845,475
1855,475
1865,475
1875,475
1886,475
1896,475
1906,475
1917,475
1928,475
1938,475
1948,475
1958,475
1969,475
1980,475
1990,475
2000,475
2011,476
2021,476
2031,475
2042,475
2053,475
2063,475
2073,475
2083,475
2094,475
2104,475
2115,475
2125,475
2136,475
2146,475
2156,474
2166,474
2178,474
2188,474
2198,474
2208,474
2219,474
2229,474
2239,474
2250,473
2260,473
2271,473
2281,473
2291,473
2301,473
2313,473
2323,473
2333,473
2343,473
2354,472
2364,472
2375,472
2385,472
2396,472
2406,473
2416,473
2426,473
2437,473
2448,473
2458,473
2468,473
2479,473
2489,473
2499,473
2510,473
2521,473
2531,473
2541,473
2551,474
2562,473
2572,473
2583,473
2593,473
2604,473
2614,474
2624,474
2634,474
2646,475
2656,475
2666,475
2676,475
2686,475
2697,475
2708,475
2718,475
2728,476
2739,476
2749,476
2759,476
2769,476
2781,477
2791,477
2801,477
2811,477
2822,477
2832,477
2843,477
2853,478
2864,478
2874,478
2884,477
2894,477
2905,477
2916,477
2926,478
2936,477
2947,478
2957,478
2967,478
2978,478
2989,478
2999,478
3009,478
3019,478
3030,478
3041,477
3051,478
3061,478
3072,478
3082,478
3092,477
3102,477
3113,477
3124,477
3134,476
3144,476
3154,476
3165,476
3176,477
3186,477
3196,476
3207,476
3217,476
3227,475
3237,475
3249,475
3259,476
3269,476
3279,476
3290,476
3300,475
3311,475
3321,475
3332,475
3342,474
3352,474
3362,475
3374,475
3384,475
3394,475
3404,475
3415,474
3425,474
3435,474
3446,474
3457,474
3467,474
3477,474
3487,475
3497,475
3509,475
3519,475
3529,475
3539,475
3550,475
3560,474
3570,474
3581,475
3592,475
3602,475
3612,475
3622,475
3633,475
3644,475
3654,475
3664,475
3675,475
3685,476
3695,476
3706,477
3717,477
3727,477
3737,477
3747,477
3758,477
3768,477
3779,477
3789,477
3800,478
3810,478
3820,478
3830,478
3842,478
3852,478
3862,478
3872,478
3883,478
3893,479
3903,479
3914,479
3924,479
3935,479
3945,479
3955,479
3965,479
3977,478
3987,478
3997,479
4007,479
4018,479
4028,479
4039,479
4049,479
4060,479
4070,479
4080,479
4090,479
4101,479
4112,479
4122,479
4132,479
4143,479
4153,478
4163,478
4174,478
4185,478
4195,478
4205,478
4215,478
4226,478
4236,478
4247,478
4257,478
4268,477
4278,477
4288,477
4298,477
4310,477
4320,477
4330,477
4340,477
4350,477
4361,476
4372,476
4382,476
4392,476
4403,476
4413,476
4423,476
4433,476
4445,476
4455,476
4465,476
4475,476
4486,475
4496,475
4507,475
4517,475
4528,476
4538,476
4548,476
4558,476
4569,476
4580,476
4590,476
4600,476
4611,476
4621,476
4631,475
4642,476
4653,476
4663,476
4673,476
4683,476
4694,476
4705,476
4715,476
4725,476
4736,476
4746,477
4756,477
4766,478
4777,478
4788,478
4798,478
4808,478
4818,478
4829,478
4840,478
4850,478
4860,479
4871,479
4881,479
4891,479
4901,479
4913,479
4923,479
4933,479
4943,479
4954,480
4964,480
4975,480
4985,480
4996,480
5006,479
5016,479
5026,479
5038,479
5048,479
5058,479
5068,479
5079,480
5089,480
5099,480
5110,480
5121,479
5131,479
5141,479
5151,479
5161,479
5173,479
5183,479
5193,479
5203,479
5214,479
5224,479
5234,479
5245,479
5256,478
5266,478
5276,478
5286,479
5297,479
5308,479
5318,478
5328,478
5339,477
5349,477
5359,477
5370,477
5381,477
5391,477
5401,477
5411,477
5422,476
5432,476
5443,476
5453,476
5464,476
5474,476
5484,476
5494,476
5506,476
5516,476
5526,476
5536,476
5547,476
5557,476
5567,476
5578,476
5588,476
5599,476
5609,476
5619,476
5629,476
5641,476
5651,476
5661,476
5671,476
5682,476
5692,476
5703,476
5713,476
5724,477
5734,477
5744,477
5754,477
5765,477
5776,477
5786,477
5796,477
5807,477
5817,478
5827,478
5838,478
5849,478
5859,478
5869,478
5879,478
5890,478
5900,478
5911,479
5921,479
5932,479
5942,479
5952,479
5962,479
5974,479
5984,479
5994,479
6004,479
6014,480
6025,480
6036,480
6046,480
6056,480
6067,480
6077,480
6087,480
6097,480
6109,480
6119,480
6129,480
6139,480
6150,480
6160,480
6171,480
6181,480
6192,480
6202,480
6212,480
6222,480
6233,480
6244,480
6254,480
6264,480
6275,479
6285,479
6295,479
6306,479
6317,478
6327,478
6337,478
6347,478
6358,478
6369,478
6379,478
6389,478
6400,478
6410,478
6420,477
6430,477
6441,477
6452,477
6462,477
6472,477
6482,477
6493,476
6504,476
6514,476
6524,476
6535,476
6545,476
6555,476
6565,476
6577,477
6587,476
6597,476
6607,476
6618,476
6628,476
6639,476
6649,476
6660,476
6670,477
6680,477
6690,477
6702,477
6712,477
6722,477
6732,477
6743,477
6753,477
6763,477
6774,477
6785,478
6795,478
6805,478
6815,477
6825,477
6837,477
6847,477
6857,477
6867,478
6878,478
6888,478
6898,479
6909,479
6920,479
6930,479
6940,479
6950,479
6961,479
6972,480
6982,480
6992,480
7003,480
7013,480
7023,480
7034,480
7045,480
7055,480
7065,480
7075,480
7086,480
7096,481
7107,481
7117,481
7128,480
7138,480
7148,480
7158,480
7170,480
7180,480
7190,481
7200,481
7211,481
7221,481
7231,480
7242,480
7252,480
7263,480
7273,480
7283,480
7293,480
7305,480
7315,480
7325,480
7335,480
7346,480
7356,479
7367,479
7377,479
7388,479
7398,479
7408,479
7418,479
7429,479
7440,478
7450,478
7460,478
7471,478
7481,477
7491,477
7502,477
7513,477
7523,477
7533,477
7543,477
7554,477
7564,477
7575,477
7585,477
7596,477
7606,477
7616,477
7626,477
7638,477
7648,477
7658,477
7668,477
7678,477
7689,476
7700,476
7710,477
7720,477
7731,477
7741,477
7751,477
7761,477
7773,477
7783,477
7793,477
7803,477
7814,477
7824,477
7835,478
7845,478
7856,478
7866,478
7876,478
7886,478
7897,478
7908,478
7918,478
7928,479
7939,479
7949,479
7959,480
7970,480
7981,480
7991,480
8001,480
8011,480
8022,480
8033,480
8043,480
8053,481
8064,481
8074,481
8084,481
8094,480
8105,480
8116,480
8126,480
8136,481
8146,481
8157,481
8168,481
8178,481
8188,481
8199,481
8209,481
8219,481
8229,481
8241,481
8251,481
8261,481
8271,481
8282,481
8292,481
8303,480
8313,480
8324,480
8334,480
8344,480
8354,480
8366,480
8376,480
8386,480
8396,480
8407,479
8417,479
8427,479
8438,479
8449,479
8459,479
8469,479
8479,479
8489,479
8501,479
8511,478
8521,478
8531,478
8542,478
8552,477
8562,478
8573,478
8584,478
8594,478
8604,477
8614,477
8625,477
8636,477
8646,477
8656,477
8667,477
8677,477
8687,477
8698,477
8709,477
8719,477
8729,477
8739,477
8750,477
8760,477
8771,477
8781,477
8792,477
8802,477
8812,477
8822,477
8834,477
8844,477
8854,477
8864,477
8875,477
8885,477
8895,478
8906,478
8916,478
8927,478
8937,478
8947,478
8957,478
8969,478
8979,478
8989,479
8999,479
9010,479
9020,480
9031,479
9041,479
9052,480
9062,480
9072,480
9082,480
9093,480
9104,480
9114,481
9124,481
9135,481
9145,481
9155,480
9166,480
9177,480
9187,480
9197,481
9207,481
9218,481
9228,481
9239,481
9249,481
9260,481
9270,481
9280,481
9290,481
9302,481
9312,481
9322,481
9332,481
9342,481
9353,481
9364,480
9374,480
9384,480
9395,480
9405,480
9415,480
9425,480
9437,480
9447,480
9457,480
9467,479
9478,479
9488,479
9499,479
9509,479
9520,479
9530,479
9540,479
9550,479
9561,479
9572,478
9582,478
9592,478
9603,478
9613,478
9623,478
9634,478
9645,478
9655,478
9665,478
9675,477
9686,477
9697,477
9707,477
9717,477
9728,477
9738,477
9748,477
9758,478
9769,477
9780,477
9790,477
9800,477
9810,477
9821,477
9832,477
9842,477
9852,477
9863,477
9873,478
9883,477
9893,477
9905,478
9915,478
9925,478
9935,478
9946,478
9956,478
9967,479
9977,479
9988,479
9998,479
10008,479
