Time, brightness

814,469
823,470
832,470
841,470
851,470
861,470
870,471
879,471
888,471
898,472
907,471
917,472
926,472
935,472
945,473
954,472
963,473
972,473
983,473
992,473
1001,473
1011,473
1021,472
1032,473
1042,473
1053,473
1063,473
1074,474
1084,475
1094,474
1104,474
1116,473
1126,473
1136,473
1146,473
1157,474
1167,473
1178,474
1188,474
1199,474
1209,475
1219,474
1229,473
1240,473
1251,473
1261,473
1271,473
1282,474
1292,474
1302,474
1313,474
1324,474
1334,474
1344,474
1354,474
1364,474
1375,474
1386,474
1396,474
1406,474
1417,474
1427,474
1437,474
1448,474
1459,474
1469,474
1479,474
1489,474
1500,474
1511,475
1521,475
1531,475
1542,475
1552,475
1562,475
1572,475
1584,475
1594,475
1604,475
1614,476
1625,476
1635,476
1646,477
1656,476
1667,476
1677,476
1687,476
1697,477
1708,477
1719,477
1729,478
1739,478
1750,478
1760,478
1770,478
1781,478
1792,478
1802,478
1812,478
1822,479
1832,479
1844,479
1854,479
1864,479
1874,479
1885,479
1895,479
1905,479
1916,479
1927,479
1937,480
1947,480
1957,480
1968,480
1979,480
1989,480
1999,480
2010,480
2020,480
2030,480
2040,480
2052,480
2062,481
2072,481
2082,480
2093,480
2103,480
2114,480
2124,480
2135,480
2145,480
2155,480
2165,481
2177,481
2187,480
2197,480
2207,480
2217,480
2228,480
2238,480
2249,480
2259,480
2270,480
2280,480
2290,479
2300,479
2312,479
2322,479
2332,479
2342,479
2353,479
2363,479
2373,479
2384,479
2395,479
2405,478
2415,478
2425,478
2436,478
2447,478
2457,478
2467,478
2478,478
2488,478
2498,478
2509,478
2520,478
2530,478
2540,478
2550,478
2561,478
2571,478
2582,478
2592,479
2603,479
2613,479
2623,479
2633,479
2644,479
2655,479
2665,479
2675,479
2685,479
2696,480
2706,480
2717,480
2727,480
2738,480
2748,480
2758,480
2768,480
2780,480
2790,481
2800,481
2810,481
2821,481
2831,481
2842,481
2852,481
2863,481
2873,481
2883,482
2893,482
2904,482
2915,483
2925,482
2935,482
2946,482
2956,482
2966,482
2977,482
2988,482
2998,483
3008,483
3018,483
3028,483
3039,483
3050,483
3060,483
3070,483
3081,483
3091,483
3101,483
3112,483
3123,483
3133,483
3143,483
3153,483
3164,483
3175,483
3185,483
3195,482
3206,483
3216,483
3226,483
3236,483
3248,482
3258,482
3268,482
3278,482
3289,482
3299,482
3310,482
3320,482
3331,482
3341,482
3351,481
3361,481
3372,481
3383,481
3393,481
3403,481
3414,481
3424,481
3434,481
3445,481
3456,481
3466,480
3476,480
3486,480
3496,480
3508,480
3518,480
3528,480
3538,480
3549,480
3559,480
3569,480
3580,480
3591,480
3601,480
3611,480
3621,480
3632,480
3643,480
3653,481
3663,481
3674,481
3684,481
3694,481
3704,481
3716,481
3726,481
3736,481
3746,481
3757,481
3767,482
3778,482
3788,482
3799,482
3809,482
3819,482
3829,482
3841,482
3851,483
3861,483
3871,483
3881,483
3892,483
3902,483
3913,483
3923,483
3934,483
3944,483
3954,484
3964,484
3976,484
3986,484
3996,484
4006,484
4017,484
4027,484
4037,484
4048,484
4059,484
4069,484
4079,485
4089,484
4100,484
4111,484
4121,484
4131,484
4142,484
4152,484
4162,484
4173,484
4184,484
4194,484
4204,484
4214,484
4225,484
4235,484
4246,484
4256,484
4267,484
4277,484
4287,484
4297,484
4308,484
4319,483
4329,483
4339,483
4349,483
4360,483
4370,483
4381,483
4391,483
4402,483
4412,482
4422,482
4432,482
4444,482
4454,482
4464,482
4474,482
4485,482
4495,482
4506,482
4516,482
4527,481
4537,481
4547,481
4557,481
4568,481
4579,481
4589,481
4599,481
