Time, Thermister (AU), Potentiometer (AU)
0,95,267
200,95,267
401,147,301
602,95,267
802,95,267
1003,148,301
1204,95,267
1404,147,266
1605,95,267
1806,95,266
2007,148,301
2207,95,267
2408,146,266
2609,95,267
2809,95,267
3010,95,301
3211,95,267
3411,146,266
3612,95,267
3813,95,267
4015,95,301
4215,95,267
4416,146,266
4617,95,267
4817,95,267
5018,95,301
5219,95,267
5420,147,266
5620,95,266
5821,95,267
6022,96,301
6222,95,267
6423,146,266
6624,95,267
6824,95,267
7025,148,301
7226,95,267
7427,147,266
7627,95,267
7828,95,267
8029,96,301
8229,95,267
8430,146,266
8631,95,267
8832,95,267
9032,96,301
9233,95,267
9434,146,266
9634,95,267
9835,95,267
10036,96,301
10236,95,267
10438,147,300
10639,95,267
10840,95,266
11040,95,267
11241,95,267
11442,146,300
11642,95,267
11843,146,266
12044,95,267
12244,95,267
12445,96,301
12646,98,254
12847,177,228
13048,97,73
13249,97,4
13450,97,2
13650,97,2
13851,97,2
14052,97,2
14252,97,2
14452,99,3
14653,98,3
14854,99,4
15054,99,4
15255,99,4
15456,99,4
15656,99,4
15857,99,4
16058,98,4
16259,98,3
16459,97,2
16660,97,6
16861,97,54
17061,97,104
17262,97,152
17463,97,189
17665,96,230
17865,95,245
18066,146,276
18267,95,285
18467,150,405
18668,95,422
18869,147,458
19069,95,498
19270,94,476
19471,133,504
19672,95,539
19872,142,600
20074,94,633
20275,139,689
20475,139,728
20676,140,754
20877,136,821
21078,94,880
21278,132,932
21479,132,941
21680,131,941
21880,131,992
22082,130,1023
22283,131,1023
22483,130,1023
22684,133,1023
22885,138,1023
23086,146,1023
23286,142,1023
23488,139,1023
23689,135,1023
23889,133,1018
24090,134,983
24291,137,947
24492,142,917
24692,146,891
24894,143,861
25095,94,827
25295,142,808
25496,96,782
25697,140,759
25897,137,742
26098,136,721
26299,134,696
26500,96,668
26700,135,660
26901,97,631
27103,136,628
27303,98,615
27504,137,582
27705,138,567
27906,97,516
28106,135,502
28307,97,468
28508,132,470
28708,97,430
28909,98,393
29110,133,409
29312,98,393
29512,133,401
29713,98,322
29914,134,260
30114,98,204
30315,98,144
30516,99,99
30716,99,37
30917,98,37
31118,99,35
31319,99,0
31519,99,0
31720,99,0
31921,99,0
32121,99,0
32322,99,0
32523,99,0
32723,99,0
32924,99,0
33125,99,0
33326,99,0
33526,99,0
33727,99,0
33928,99,0
34128,99,0
34329,99,0
34530,99,0
34731,99,0
34931,99,0
35132,99,0
35333,98,0
35533,98,0
35734,99,0
